| Índice | Nome do Evento | Dimensão | Descrição | Código do Data Layer | Pergunta de Negócio | Link do ambiente |
|---|---|---|---|---|---|---|
| 1 | `page_view` | N/A | Visualização da página de cadastro. | Utilizar dimensão/métrica padrão do GA4: `page_view` | 1. Quantos cadastros foram realizados com sucesso? | N/A |
| 2 | `interaction_cadastro` | `cd_interaction_detail` : `click:continuar` | Evento disparado ao clicar no botão "Continuar" na página inicial de login. | `'event_name': 'interaction_cadastro', 'cd_interaction_detail': 'click:continuar'` | 1. Quantos cadastros foram realizados com sucesso? | N/A |
| 3 | `interaction_cadastro` | `cd_interaction_detail` : `click:criar_conta` | Evento disparado ao clicar no botão "Criar Conta" na página de cadastro. | `'event_name': 'interaction_cadastro', 'cd_interaction_detail': 'click:criar_conta'` | 1. Quantos cadastros foram realizados com sucesso? | N/A |
| 4 | `callback_cadastro_sucesso` | N/A | Evento disparado após um cadastro bem-sucedido. | Utilizar dimensão/métrica padrão do GA4: `event_count` | 1. Quantos cadastros foram realizados com sucesso? | N/A |
| 5 | `callback_cadastro_erro` | `cd_error_message` | Evento disparado em caso de erro durante o cadastro, contendo a mensagem de erro. | `'event_name': 'callback_cadastro_erro', 'cd_error_message': [[mensagem_de_erro]]` | 1. Quantos cadastros foram realizados com sucesso? | N/A |
| 6 | `login` | N/A | Evento disparado ao clicar no botão "Continuar" na página inicial de login.  | Utilizar dimensão/métrica padrão do GA4: `login` | 2. Quantos logins foram realizados com sucesso? | N/A |
| 7 | `callback_login_sucesso` | N/A | Evento disparado após um login bem-sucedido. | Utilizar dimensão/métrica padrão do GA4: `event_count` | 2. Quantos logins foram realizados com sucesso? | N/A |
| 8 | `callback_login_erro` | `cd_error_message` | Evento disparado em caso de erro durante o login, contendo a mensagem de erro. | `'event_name': 'callback_login_erro', 'cd_error_message': [[mensagem_de_erro]]` | 2. Quantos logins foram realizados com sucesso? | N/A |
| 9 | `interaction_cadastro` | `cd_interaction_detail`: `input:[nome_campo]` | Evento disparado a cada preenchimento de campo no formulário de cadastro.  | `'event_name': 'interaction_cadastro', 'cd_interaction_detail': 'input:[nome_do_campo]'`  | 3. Quais campos estão sendo preenchidos? | N/A |
| 10 | `interaction_cadastro` | `cd_interaction_detail`: `input:[nome_campo]` | Evento disparado a cada preenchimento de campo no formulário de cadastro.  | `'event_name': 'interaction_cadastro', 'cd_interaction_detail': 'input:[nome_do_campo]'`  | 3. Quais campos estão sendo preenchidos? | N/A |
| 11 | `interaction_cadastro` | `cd_interaction_detail` : `click:continuar` | Evento disparado ao clicar no botão "Continuar" na página de cadastro. | `'event_name': 'interaction_cadastro', 'cd_interaction_detail': 'click:continuar'` | 4. Os usuários estão clicando nos botões "Continuar" e "Criar Conta"? | N/A |
| 12 | `interaction_cadastro` | `cd_interaction_detail` : `click:criar_conta` | Evento disparado ao clicar no botão "Criar Conta" na página de cadastro. | `'event_name': 'interaction_cadastro', 'cd_interaction_detail': 'click:criar_conta'` | 4. Os usuários estão clicando nos botões "Continuar" e "Criar Conta"? | N/A |

